"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3522","Verificar que el usuario puede iniciar sesión con credenciales válidas","chromium","2026-02-13","passed","2026-02-13","Verificar el acceso a la plataforma","login.feature.spec.js","",""
"","5012","Verificar que el usuario puede iniciar sesión con credenciales válidas","firefox","2026-02-13","passed","2026-02-13","Verificar el acceso a la plataforma","login.feature.spec.js","",""
